outcome,period_summary,model_family,quantile,profile_block,representation,metric,metric_direction,direct_estimand,direct_tuning_reference,direct_estimate,direct_evidence_label,direct_evidence_reason,direct_profile_label_availability,direct_source_path,direct_source_sha256,conditional_estimand,conditional_tuning_reference,conditional_estimate,conditional_evidence_label,conditional_evidence_reason,conditional_profile_label_availability,conditional_source_path,conditional_source_sha256,interpretation_boundary
breach_probability,later_monthly_median,logistic_l2,,both,full,delta_brier,negative_is_better,issued promise -> issued promise + held-fixed validated process profiles,"direct promise baseline (DP0/DQ0), development only",-0.00146902299902,Supported,both_medians_improve_at_least_four_months_all_guards_pass,January-June direct order label available,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,"Order V1 current-context baseline (M1/Q1), development only",-0.00124549078367,Supported,all_frozen_breach_rules_passed,January-June protected Order V1 label available,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability,later_monthly_median,logistic_l2,,both,full,delta_log_loss,negative_is_better,issued promise -> issued promise + held-fixed validated process profiles,"direct promise baseline (DP0/DQ0), development only",-0.0188355042404,Supported,both_medians_improve_at_least_four_months_all_guards_pass,January-June direct order label available,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,"Order V1 current-context baseline (M1/Q1), development only",-0.0118082057867,Supported,all_frozen_breach_rules_passed,January-June protected Order V1 label available,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability,later_monthly_median,logistic_l2,,both,full,favourable_month_count,larger_is_more_consistent,issued promise -> issued promise + held-fixed validated process profiles,"direct promise baseline (DP0/DQ0), development only",5,Supported,both_medians_improve_at_least_four_months_all_guards_pass,January-June direct order label available,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,"Order V1 current-context baseline (M1/Q1), development only",4,Supported,all_frozen_breach_rules_passed,January-June protected Order V1 label available,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability,later_monthly_median,logistic_l2,,seller,full,delta_brier,negative_is_better,issued promise -> issued promise + held-fixed validated process profiles,"direct promise baseline (DP0/DQ0), development only",-0.00047411302235,Supported,both_medians_improve_at_least_four_months_all_guards_pass,January-June direct order label available,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,"Order V1 current-context baseline (M1/Q1), development only",-0.000409649138751,Supported,all_frozen_breach_rules_passed,January-June protected Order V1 label available,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability,later_monthly_median,logistic_l2,,seller,full,delta_log_loss,negative_is_better,issued promise -> issued promise + held-fixed validated process profiles,"direct promise baseline (DP0/DQ0), development only",-0.00415653020117,Supported,both_medians_improve_at_least_four_months_all_guards_pass,January-June direct order label available,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,"Order V1 current-context baseline (M1/Q1), development only",-0.00362976512882,Supported,all_frozen_breach_rules_passed,January-June protected Order V1 label available,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability,later_monthly_median,logistic_l2,,seller,full,favourable_month_count,larger_is_more_consistent,issued promise -> issued promise + held-fixed validated process profiles,"direct promise baseline (DP0/DQ0), development only",6,Supported,both_medians_improve_at_least_four_months_all_guards_pass,January-June direct order label available,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,"Order V1 current-context baseline (M1/Q1), development only",6,Supported,all_frozen_breach_rules_passed,January-June protected Order V1 label available,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability,later_monthly_median,logistic_l2,,state_od,full,delta_brier,negative_is_better,issued promise -> issued promise + held-fixed validated process profiles,"direct promise baseline (DP0/DQ0), development only",-0.000678203167734,Mixed,exactly_three_both_improved_months,January-June direct order label available,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,"Order V1 current-context baseline (M1/Q1), development only",-0.000967202240254,Mixed,proper_score_gain_concentrated_in_fewer_than_four_months,January-June protected Order V1 label available,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability,later_monthly_median,logistic_l2,,state_od,full,delta_log_loss,negative_is_better,issued promise -> issued promise + held-fixed validated process profiles,"direct promise baseline (DP0/DQ0), development only",-0.0126256584508,Mixed,exactly_three_both_improved_months,January-June direct order label available,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,"Order V1 current-context baseline (M1/Q1), development only",-0.00934112747353,Mixed,proper_score_gain_concentrated_in_fewer_than_four_months,January-June protected Order V1 label available,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability,later_monthly_median,logistic_l2,,state_od,full,favourable_month_count,larger_is_more_consistent,issued promise -> issued promise + held-fixed validated process profiles,"direct promise baseline (DP0/DQ0), development only",3,Mixed,exactly_three_both_improved_months,January-June direct order label available,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,"Order V1 current-context baseline (M1/Q1), development only",3,Mixed,proper_score_gain_concentrated_in_fewer_than_four_months,January-June protected Order V1 label available,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability,later_monthly_median,xgboost,,both,full,delta_brier,negative_is_better,issued promise -> issued promise + held-fixed validated process profiles,"direct promise baseline (DP0/DQ0), development only",-0.000293696109202,Mixed,required_guard_unavailable_or_failed,January-June direct order label available,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,"Order V1 current-context baseline (M1/Q1), development only",-0.000127879810165,Supported,all_frozen_breach_rules_passed,January-June protected Order V1 label available,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
